ID,Mi rol principal en la universidad es:,Distancia Recorrida (ida),Tiempo de traslado (ida),Modo de transporte principal,En tu viaje al ITESO: ¿Empleas el automóvil como la persona conductora o pasajera?,¿Qué días de la semana te trasladas al ITESO?_1,¿Qué días de la semana te trasladas al ITESO?_2,¿Qué días de la semana te trasladas al ITESO?_3,¿Qué días de la semana te trasladas al ITESO?_4,¿Qué días de la semana te trasladas al ITESO?_5,¿Qué días de la semana te trasladas al ITESO?_6,¿Qué días de la semana te trasladas al ITESO?_7,dias_campus_total,Días de desplazamiento al trabajo,"En un día típico, ¿a qué hora llegas y sales del ITESO?",Hora_1,Hora_2,Segundo Horario,Hora_1,Hora_2,Doy regularmente aventón_1,Pido regularmente aventón_1,Compartido con pasajeros_1
27486,Estudiante de licenciatura,9.69,,Automóvil compacto,Pasajera,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,05:00:00,08:30:00,,,1
27487,Profesor (a) de tiempo fijo,11.62,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:30:00,,Mi horario de salida es fijo,15:00:00,,1 vez por semana,Nunca,2
27488,Estudiante de licenciatura,24.07,,Tren Ligero (Mi Tren),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,11:00:00,03:00:00,,Nunca,1
27489,Personal administrativo,11.78,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,17:05:00,,Nunca,Nunca,
27490,Estudiante de licenciatura,5.31,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,11:30:00,15:30:00,Mi horario de salida es flexible,16:30:00,21:00:00,Nunca,Nunca,
27491,Estudiante de licenciatura,,15,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,01:00:00,06:00:00,,,
27492,Personal administrativo,13.75,20,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,10:00:00,Mi horario de salida es flexible,05:00:00,19:00:00,2 veces por semana,Nunca,1
27493,Profesor (a) de tiempo fijo,10.16,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,14:00:00,,Nunca,Nunca,1
27494,Profesor (a) de tiempo fijo,11.79,20,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:10:00,,Mi horario de salida es flexible,18:00:00,20:00:00,Nunca,,
27495,Profesor (a) de asignatura,20.17,,Automóvil compacto,Conductora,Lunes,,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,Nunca,Nunca,
