Modo de transporte principal,conteo
Automóvil compacto,286
Automóvil SUV (tipo camioneta),116
Tren Ligero (Mi Tren),42
Transporte colectivo (Camión/rutas de MiTransporte),37
Mi Macro (Calzada o Periférico),29
Transporte universitario,27
Llego caminando hasta el ITESO,24
Automóvil híbrido,18
Bicicleta propia,11
Taxi (internet o aplicación como Uber),9
,7
Automóvil eléctrico,3
Motocicleta,3
Scooter o monopatín,3
ATE,1
Bicicleta pública (MiBici),1
Caminando,1
Transporte de un exalumno de ITESO,1
camino 2 km,1
Peribus,1
Autobús,1
Me llevan mis papás,1
Pickup,1
